"","RACE","CRIME.CODE","avg"
"426","White","ARMED VIOLENCE",64.5321
"427","White","ARSON",58.4474
"428","White","ARSON: AGGRAVATED",70.381
"429","White","ASSAULT",5.1562
"430","White","AWOL AND DESERTION",0.5007
"431","White","BATTERY",7.1471
"432","White","BATTERY OF UNBORN CHILD",0.4938
"433","White","BOMB THREAT",104.8764
"434","White","BRIBERY",1.3035
"435","White","BRINGING CONTRABAND INTO A PENAL INSTITUTION",3.1545
"436","White","BURGLARY",15.9517
"437","White","BURGLARY FROM MOTOR VEHICLE",17.0654
"438","White","CANNABIS: CALCULATED CONSPIRACY",1.2477
"439","White","CANNABIS: POSSESSION OF 30 GRAMS OR LESS",4.5746
"440","White","CANNABIS: POSSESSION OF OVER 30 GRAMS",11.9187
"441","White","CANNABIS: PRODUCTION OF PLANT",37.7795
"442","White","CHANGE OF ADDRESS/OTHER VIOLS",10.9958
"443","White","CHILD ABANDONMENT",0.1472
"444","White","CHILD ABDUCTION",62.4824
"445","White","COMPUTER FRAUD",0.4535
"446","White","COMPUTER TAMPERING",1.9771
"447","White","CONCEALING OR AIDING A FUGITIVE",0.6581
"448","White","CONTEMPT OF COURT",16.6442
"449","White","CONTRIBUTING TO CRIMINIAL DELIQUENCY OF A CHILD",4.0611
"450","White","CONTRIBUTING TO DELINQUENCY OF A MINOR",16.0488
"451","White","CONTROLLED SUBSTANCES: MFR/ DEL/ POSS/ W/ INTENT",29.5297
"452","White","CREDIT CARD FRAUD",19.1789
"453","White","CRIMINAL DAMAGE OF FIRE APPARATUS/ HYDRANT",0.0271
"454","White","CRIMINAL DAMAGE TO PROPERTY",10.6627
"455","White","CRIMINAL DAMAGE TO STATE SUPPORTED PROPERTY",14.2002
"456","White","CRIMINAL DEFACEMENT",0.3189
"457","White","CRIMINAL DRUG CONSPIRACY",153.3097
"458","White","CRIMINAL SEXUAL ABUSE",27.2936
"459","White","CRIMINAL SEXUAL ASSAULT",82.6067
"460","White","CRIMINAL SEXUAL ASSAULT WITH AN OBJECT",0.0493
"461","White","CRIMINAL TREPASS TO STATE SUPPORTED LAND",7.6041
"462","White","CRIMINAL TRESPASS TO LAND",8.1207
"463","White","CRIMINAL TRESPASS TO RESIDENCE",22.4367
"464","White","CRIMINAL TRESPASS TO VEHICLE",13.6722
"465","White","CYBERSTALKING",22.9483
"466","White","DECEPTIVE PRACTICES",9.3524
"467","White","DEFACING IDENTIFICATION MARKS OF FIREARM",1.0938
"468","White","DEFRAUDING DRUG & ALCOHOL SCREENING TEST",1.8021
"469","White","DEL OR POSS W/ INTENT TO DEL METHAMPHETAMINE",133.387
"470","White","DELIVERY OF CANNABIS 30 GMS AND UNDER",10.115
"471","White","DELIVERY OF CANNABIS OVER 30 GMS",16.245
"472","White","DELIVERY OF OR POSSESSION OF W/ INTENT TO DELIVER",21.7469
"473","White","DOMESTIC BATTERY",7.0669
"474","White","DOMESTIC VIOLENCE",4.8453
"475","White","DRIVER AND PASSENGER SAFETY BELTS",5.0972
"476","White","DRIVING UNDER THE INFLUENCE OF ALCOHOL",10.6397
"477","White","DRIVING UNDER THE INFLUENCE OF DRUGS",8.058
"478","White","DUTY TO REGISTER-SEX OFFENDER",176.6197
"479","White","ENDANGERING LIFE OR HEALTH OF CHILD",11.4956
"480","White","ESCAPE",52.8883
"481","White","EXPLOITATION OF A CHILD",0.0111
"482","White","FALSE FIRE ALARM",22.1781
"483","White","FALSE POLICE REPORT",9.0995
"484","White","FINANCIAL EXPLOTATION OF ELDERLY/DISABLED",35.9801
"485","White","FIRST DEGREE MURDER",227.4491
"486","White","FLEEING & ELUDING OR ATTEMPTING TO FLEE & ELUDE",42.5635
"487","White","FORCIBLE SODOMY",2.5597
"488","White","FORGERY",13.2053
"489","White","FRAUD",0.6832
"490","White","FUGITIVE FROM JUSTICE",17.7634
"491","White","HARASSMENT BY TELEPHONE",17.5725
"492","White","HARBORING A RUNAWAY",0.0681
"493","White","HARMFUL MATERIAL",0.0146
"494","White","HATE CRIME",27.3966
"495","White","HIT AND RUN",8.6865
"496","White","HOME INVASION",47.7258
"497","White","IDENTITY THEFT",9.2042
"498","White","ILLEGAL CONSUMPTION OF ALCOHOL BY A MINOR",2.949
"499","White","ILLEGAL LIQUOR ACCESS",0.5195
"500","White","ILLEGAL POSSESSION OF ALCOHOL BY A MINOR",3.1979
"501","White","IMPROPER USE OF REGISTRATION",7.9787
"502","White","INDECENT SOLICITATION OF A CHILD",1.6524
"503","White","INTERFERENCE WITH EMERGENCY EQUIPMENT",15.0882
"504","White","INTERFERENCE WITH JUDICIAL PROCEEDING",15.8085
"505","White","INTIMIDATION",16.0244
"506","White","INVOLUNTARY MANSLAUGHTER",NA
"507","White","KIDNAPPING",60.175
"508","White","LOOK-ALIKE CONTROLLED SUBSTANCE",0.5118
"509","White","MAKING A TERRORIST THREAT",70.3514
"510","White","MANUFACTURING METHAMPHETAMINE",97.8871
"511","White","METH, METH PRECURSOR OR ANHYDROUS TRAFFICKING",1.0188
"512","White","MISC JAIL CODE",7.6208
"513","White","MISCELLANEOUS OFFENSES",14.094
"514","White","MOB ACTION",10.2818
"515","White","MONEY LAUNDERING",52.5134
"516","White","MOTOR VEHICLE ANTI-THEFT LAWS",37.6596
"517","White","MOTOR VEHICLE THEFT",29.3416
"518","White","NO AUTOMOBILE INSURANCE",4.1486
"519","White","NO DRIVERS LICENSE",7.6101
"520","White","NO FOID CARD",3.7105
"521","White","NO REGISTRATION",0.5014
"522","White","OBSCENE PHONE CALLS",65.4146
"523","White","OBSTRUCTING JUSTICE",12.5817
"524","White","OFFICIAL MISCONDUCT",31.6993
"525","White","OPERATE MOTOR VEHICLE W/SUSPENSION REGISTRATION",5.925
"526","White","OTHER ANIMAL COMPLAINTS",23.8494
"527","White","OTHER CRIMINAL OFFENSES",15.1678
"528","White","OTHER TRAFFIC OFFENSES",3.4455
"529","White","PAROLE REVOCATION",43.9169
"530","White","PEEPING TOM",4.9352
"531","White","POSS OR DEL OF MATERIALS (NOT PRECURSOR) W/ INTENT",32.3214
"532","White","POSSESSING A CONTROLLED SUBSTANCE",12.6091
"533","White","POSSESSION OF BURGLARY TOOLS",13.2693
"534","White","POSSESSION OF DRUG EQUIPMENT",6.701
"535","White","POSSESSION OF HYPODERMIC NEEDLE",17.4875
"536","White","POSSESSION OF METHAMPHETAMINE",12.1345
"537","White","POSSESSION OF STOLEN PROPERTY",34.01
"538","White","POSSESSION OR DELIVERY OF METH PRECURSOR(S)",37.1562
"539","White","PRED CRIM SEX ASSAULT OF A CHILD",130.6472
"540","White","PROBATION VIOLATION",15.506
"541","White","PROSTITUTION",0.1056
"542","White","PUBLIC INDECENCY",15.8278
"543","White","RECKLESS CONDUCT",5.9256
"544","White","RECKLESS DISCHARGE OF A FIREARM",30.2893
"545","White","RECKLESS DRIVING",4.8057
"546","White","RECKLESS HOMICIDE",75.6843
"547","White","RESIDENTIAL BURGLARY",39.5123
"548","White","RESISTING,OBSTRUCTING,OR DISARMING A POLICE OFC",11.5088
"549","White","RETAIL THEFT",7.1497
"550","White","REVOKED,CANCELLED,SUSPENDED REGISTRATION",2.4795
"551","White","ROBBERY",28.3261
"552","White","SALE OF LIQUOR TO MINOR, DRUNKARDS",3.5029
"553","White","SECOND DEGREE MURDER",NA
"554","White","SEX OFFENDER - FAIL TO REG NEW ADDRESS/EMP/SCHOOL",18.0615
"555","White","SEX OFFENDER - FAILURE TO REGISTER",20.4826
"556","White","SEX OFFENDER - OTHER VIOLATION",2.0549
"557","White","SEX OFFENDER - PROHIBITED ZONE",34.8469
"558","White","SEXUAL EXPLOTATION OF A CHILD",6.2129
"559","White","SEXUAL RELATIONS WITHIN FAMILIES",0.0556
"560","White","SOLICITATION FOR MURDER OR MURDER FOR HIRE",196.6083
"561","White","SOLICITATION OF A SEXUAL ACT",0.074
"562","White","SOLICITING FOR A PROSTITUTE",107.0972
"563","White","STALKING",27.9136
"564","White","SUSPENDED OR REVOKED DRIVERS LICENSE",18.5682
"565","White","TELEPHONE THREAT",28.391
"566","White","THEFT FROM BUILDING",0.0833
"567","White","THEFT FROM MOTOR VEHICLE",31.2985
"568","White","THEFT OF LABOR/ SERVICES/ USE OF PROPERTY",3.0207
"569","White","THEFT OF LOST OR MISLAID PROPERTY",3.7719
"570","White","THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES",15.7986
"571","White","THEFT: $300 AND UNDER",9.9056
"572","White","THEFT: OVER $300",11.6448
"573","White","TRANSPORTATION OF ALCOHOLIC LIQUOR",3.8013
"574","White","UNAUTHORIZED VIDEOTAPING",21.9022
"575","White","UNLAW DISPOSAL OF METH MANUFACT. WASTE",137.0611
"576","White","UNLAWFUL POSS OF FIREARMS & FIREARM AMMUNITION",63.5944
"577","White","UNLAWFUL POSS/MANU/DEL OF NITROUS OXIDE",11.6639
"578","White","UNLAWFUL POSSESSION OF A WEAPON",45.6673
"579","White","UNLAWFUL POSSESSION OF FIREARM AT SCHOOL",180.0118
"580","White","UNLAWFUL RESTRAINT (INCLUDES AGGRAVATED)",17.833
"581","White","UNLAWFUL USE OF A WEAPON",25.3736
"582","White","UNLAWFUL USE OF DRIVERS LICENSE",0.2253
"583","White","USE,SALE,DEL OF INTOXICATING COMPOUNDS",25.1583
"584","White","VEHICULAR HIJACKING",23.1934
"585","White","VIOL OF CHILD MURDERER & VIOL OFF VS. YOUTH REG",1.4264
"586","White","VIOLATION OF BAIL BOND",1.3396
"587","White","VIOLATION OF ORDERS OF PROTECTION",16.1716
"588","White","WARRANTS/SUBPEONAS/SUMMONS",5.3445
"589","White (Hispanic)","AGGRAVATED BATTERY",0.9194
"590","White (Hispanic)","ALL OTHER DISORDERLY CONDUCT: NOT DRUNK",1.4
"591","White (Hispanic)","BURGLARY",0.8965
"592","White (Hispanic)","CRIMINAL DAMAGE TO PROPERTY",1.4
"593","White (Hispanic)","CRIMINAL SEXUAL ABUSE",0.5931
"594","White (Hispanic)","DOMESTIC BATTERY",1.1389
"595","White (Hispanic)","DRIVING UNDER THE INFLUENCE OF ALCOHOL",0.3569
"596","White (Hispanic)","HOME INVASION",131.649
"597","White (Hispanic)","MISC JAIL CODE",0.0257
"598","White (Hispanic)","MISCELLANEOUS OFFENSES",0.3569
"599","White (Hispanic)","OBSTRUCTING JUSTICE",0.3569
"600","White (Hispanic)","OTHER CRIMINAL OFFENSES",21.5837
"601","White (Hispanic)","OTHER TRAFFIC OFFENSES",0.3569
"602","White (Hispanic)","RETAIL THEFT",0.7505
"603","White (Hispanic)","SUSPENDED OR REVOKED DRIVERS LICENSE",177.9104
